prefix	name	query	count
nucleotide	Nucleotide	"""Nucleotide""[tw]"	495279
pubmed	PubMed	"""PubMed""[tw]"	287144
ncbi.assembly	Assembly	"""Assembly""[tw]"	269946
genbank	GenBank	"""GenBank""[tw]"	222907
clinicaltrials	ClinicalTrials.gov	"""ClinicalTrials.gov""[tw]"	188019
microscope	MicroScope	"""MicroScope""[tw]"	132549
massive	MassIVE	"""MassIVE""[tw]"	126447
span	Span	"""Span""[tw]"	74593
supfam	SUPERFAMILY	"""SUPERFAMILY""[tw]"	57397
coexistence	COEXISTENCE	"""COEXISTENCE""[tw]"	51212
go	Gene Ontology	"""Gene Ontology""[tw] OR ""Gene Ontology (GO)""[tw]"	44542
hdl	Handle	"""Handle""[tw]"	40695
dc_cl	Dendritic cell	"""Dendritic cell""[tw] OR ""Dendritic cell (DC_CL)""[tw]"	25479
kegg	Kyoto Encyclopedia of Genes and Genomes	"""Kyoto Encyclopedia of Genes and Genomes""[tw]"	19084
seed.role	The SEED	"""The SEED""[tw]"	16469
snap	Snapshot	"""Snapshot""[tw]"	11797
pubchem.compound	PubChem CID	"""PubChem CID""[tw]"	6942
mod	Protein modification	"""Protein modification""[tw] OR ""Protein modification (MOD)""[tw]"	5658
pseudogene	PseudoGene	"""PseudoGene""[tw]"	5441
cpt	Current Procedural Terminology	"""Current Procedural Terminology""[tw]"	4674
ctcae	Common Terminology Criteria for Adverse Events	"""Common Terminology Criteria for Adverse Events""[tw]"	4634
chictr	Chinese Clinical Trial Registry	"""Chinese Clinical Trial Registry""[tw]"	4359
icf	International Classification of Functioning, Disability and Health	"""International Classification of Functioning, Disability and Health""[tw]"	4127
mesh	Medical Subject Headings	"""Medical Subject Headings""[tw]"	4059
biosystems	BioSystems	"""BioSystems""[tw]"	3291
pmr	Physical Medicine and Rehabilitation	"""Physical Medicine and Rehabilitation""[tw]"	3037
galen	GALEN	"""GALEN""[tw]"	2977
anzctr	Australian New Zealand Clinical Trials Registry	"""Australian New Zealand Clinical Trials Registry""[tw]"	2959
pmc	PubMed Central	"""PubMed Central""[tw]"	2916
cp	Cellular Phenotypes	"""Cellular Phenotypes""[tw]"	2885
genecards	GeneCards	"""GeneCards""[tw]"	2637
uniprot.mnemonic	UniProt	"""UniProt""[tw]"	2332
dg.anv0	Anvil	"""Anvil""[tw]"	2297
px	ProteomeXchange	"""ProteomeXchange""[tw]"	2021
cazy	Carbohydrate Active EnZYmes	"""Carbohydrate Active EnZYmes""[tw]"	1978
gtex	Genotype-Tissue Expression	"""Genotype-Tissue Expression""[tw]"	1936
icd10	International Classification of Diseases, 10th Revision	"""International Classification of Diseases, 10th Revision""[tw]"	1857
drugbank	DrugBank	"""DrugBank""[tw]"	1762
cas	CAS Registry Number	"""CAS Registry Number""[tw]"	1752
pfam	Pfam	"""Pfam""[tw]"	1721
mao	Multiple alignment	"""Multiple alignment""[tw] OR ""Multiple alignment (MAO)""[tw]"	1532
bioproject	BioProject	"""BioProject""[tw]"	1528
icd9	International Classification of Diseases, 9th Revision	"""International Classification of Diseases, 9th Revision""[tw]"	1444
reactome	Reactome	"""Reactome""[tw]"	1437
fbdv	Drosophila development	"""Drosophila development""[tw] OR ""Drosophila development (FBdv)""[tw]"	1336
eugenes	Eukaryotic Genes	"""Eukaryotic Genes""[tw]"	1254
atcc	American Type Culture Collection	"""American Type Culture Collection""[tw]"	1245
irct	Iranian Registry of Clinical Trials	"""Iranian Registry of Clinical Trials""[tw]"	1153
pina	Protein Interaction Network Analysis	"""Protein Interaction Network Analysis""[tw]"	1135
maggot	Maggot	"""Maggot""[tw]"	1099
unigene	UniGene	"""UniGene""[tw]"	1053
chembl	ChEMBL	"""ChEMBL""[tw]"	1049
chembl.compound	ChEMBL	"""ChEMBL""[tw]"	1049
omim	Online Mendelian Inheritance in Man	"""Online Mendelian Inheritance in Man""[tw]"	1021
zenodo.record	Zenodo	"""Zenodo""[tw]"	1004
wikipedia.en	Wikipedia	"""Wikipedia""[tw]"	911
csd	Cambridge Structural Database	"""Cambridge Structural Database""[tw]"	810
mirex	mirEX	"""mirEX""[tw]"	804
dsm4	Diagnostic and Statistical Manual of Mental Disorders (4th Edition)	"""Diagnostic and Statistical Manual of Mental Disorders (4th Edition)""[tw]"	748
intact.molecule	IntAct Molecule	"""IntAct Molecule""[tw]"	720
icd9cm	International Classification of Diseases, 9th Revision, Clinical Modification	"""International Classification of Diseases, 9th Revision, Clinical Modification""[tw]"	685
thermofisher	Thermo Fisher Scientific	"""Thermo Fisher Scientific""[tw]"	675
kaggle	Kaggle	"""Kaggle""[tw]"	638
insdc.sra	Sequence Read Archive	"""Sequence Read Archive""[tw]"	633
virgen	VirGen	"""VirGen""[tw]"	629
pharmgkb.pathways	PharmGKB	"""PharmGKB""[tw]"	597
mirtarbase	mirTarBase	"""mirTarBase""[tw]"	597
